Title,Job Zone,Description,Domain,O*NET-SOC Code,german_title,german_description,german_domain
Chief Executives,5,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",Management Occupations,11-1011.00,Vorstände,"Bestimmen und formulieren Sie Richtlinien und geben Sie die allgemeine Anweisung von Unternehmen oder Organisationen des privaten und öffentlichen Sektors in Richtlinien, die von einem Verwaltungsrat oder einer ähnlichen Verwaltungsratseinrichtung eingerichtet wurden. Planen, oder koordinieren Sie Betriebsaktivitäten auf höchstem Niveau des Managements mit Hilfe untergeordneter Führungskräfte und Mitarbeitermanager.",Managementberufe
Chief Sustainability Officers,5,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",Management Occupations,11-1011.03,Chefbeamte der Nachhaltigkeit,"Kommunizieren und koordinieren Sie es mit dem Management, den Aktionären, Kunden und Mitarbeitern, um Nachhaltigkeitsprobleme anzugehen. Eine korporative Nachhaltigkeitsstrategie erlassen oder überwachen.",Managementberufe
General and Operations Managers,4,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",Management Occupations,11-1021.00,General- und Operations -Manager,"Planen, direkten Abteilungen oder Standorten planen, leiten oder koordinieren. Pflichten und Verantwortlichkeiten umfassen die Formulierung von Richtlinien, die Verwaltung des täglichen Betriebs und die Planung der Verwendung von Materialien und Humanressourcen, sind jedoch zu vielfältig und allgemein, um in einem funktionalen Bereich des Managements oder der Verwaltung eingestuft zu werden, z. B. Personal, Einkauf oder administrativ Dienstleistungen. Normalerweise durch untergeordnete Vorgesetzte verwalten. Ausgeschlossenen Vorgesetzten.",Managementberufe
Legislators,4,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",Management Occupations,11-1031.00,Gesetzgeber,"Gesetze und Gesetze auf lokaler, Stammes-, Landes- oder Bundesebene entwickeln, oder erlassen. Beinhaltet nur Arbeiter in gewählten Positionen.",Managementberufe
Advertising and Promotions Managers,4,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",Management Occupations,11-2011.00,Werbe- und Promotions -Manager,"Planen, Direkt- oder Koordinaten für Werberichtlinien und -programme oder produzieren Sicherheitenmaterialien wie Poster, Wettbewerbe, Gutscheine oder Werbegeschenke, um ein zusätzliches Interesse am Kauf eines Produkts oder einer Dienstleistung für eine Abteilung, eine ganze Organisation oder auf einem Konto zu schaffen Basis.",Managementberufe
Marketing Managers,4,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",Management Occupations,11-2021.00,Marketingmanager,"Planen, direkte Marketingrichtlinien und -programme, z. Entwickeln Sie Preisstrategien mit dem Ziel, die Gewinne oder den Anteil des Unternehmens am Markt zu maximieren und gleichzeitig sicherzustellen, dass die Kunden des Unternehmens zufrieden sind. Überwachen Sie die Produktentwicklung oder überwachen Sie Trends, die auf neue Produkte und Dienstleistungen hinweisen.",Managementberufe
Sales Managers,4,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",Management Occupations,11-2022.00,Verkaufsmanager,"Planen, leiten oder koordinieren Sie die tatsächliche Verteilung oder Bewegung eines Produkts oder einer Dienstleistung an den Kunden. Koordinieren Sie die Vertriebsverteilung durch Einrichtung von Vertriebsgebieten, Quoten und Zielen und Einrichtung von Schulungsprogrammen für Vertriebsmitarbeiter. Analysieren Sie die von den Mitarbeitern gesammelten Verkaufsstatistiken, um das Verkaufspotenzial und die Bestandsanforderungen zu bestimmen und die Präferenzen der Kunden zu überwachen.",Managementberufe
Public Relations Managers,4,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",Management Occupations,11-2032.00,PR -Manager,"Planen, direkt oder koordinieren Sie Aktivitäten, um ein günstiges öffentliches Image zu erstellen oder aufrechtzuerhalten oder das Problem für ihre Organisation oder Kunden zu schärfen.",Managementberufe
Fundraising Managers,4,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",Management Occupations,11-2033.00,Fundraising -Manager,"Planen, direkte oder koordinierende Aktivitäten, um Spenden für spezielle Projekte oder gemeinnützige Organisationen einzuholen und aufrechtzuerhalten.",Managementberufe
Administrative Services Managers,3,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",Management Occupations,11-3012.00,Verwaltungsdienste Manager,"Planen, direkten Verwaltungsdienste einer Organisation wie Aufzeichnungen und Informationsmanagement, E -Mail -Vertrieb und andere Bürounterstützungsdienste planen oder koordinieren.",Managementberufe
Facilities Managers,3,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",Management Occupations,11-3013.00,Facility Manager,"Planen, direkten Betrieb und Funktionen von Einrichtungen und Gebäuden planen oder koordinieren. Kann umgebende Gelände oder mehrere Einrichtungen des Campus eines Unternehmens umfassen.",Managementberufe
Security Managers,4,"Direct an organization's security functions, including physical security and safety of employees and facilities.",Management Occupations,11-3013.01,Sicherheitsmanager,"Leiten Sie die Sicherheitsfunktionen eines Unternehmens, einschließlich der physischen Sicherheit und Sicherheit von Mitarbeitern und Einrichtungen.",Managementberufe
Computer and Information Systems Managers,4,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",Management Occupations,11-3021.00,Manager von Computer- und Informationssystemen,"Planen, direkte oder koordinierte Aktivitäten in Bereichen wie elektronische Datenverarbeitung, Informationssysteme, Systemanalyse und Computerprogrammierung.",Managementberufe
Financial Managers,4,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",Management Occupations,11-3031.00,Finanzmanager,"Planen, Regie oder Koordinierung der Buchhaltung, Investition, Bankgeschäfte, Versicherungen, Wertpapiere und anderer finanzieller Aktivitäten einer Niederlassung, einem Büro oder einer Abteilung einer Einrichtung.",Managementberufe
Treasurers and Controllers,4,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",Management Occupations,11-3031.01,Schatzmeister und Controller,"Direkte finanzielle Aktivitäten wie Planung, Beschaffung und Investitionen für alle oder einen Teil einer Organisation.",Managementberufe
Investment Fund Managers,5,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",Management Occupations,11-3031.03,Investmentfondsmanager,"Planen, direkte Anlagestrategie oder -Operation für einen großen Pool von liquiden Vermögenswerten, die von institutionellen Anlegern oder einzelnen Anlegern geliefert werden.",Managementberufe
Industrial Production Managers,4,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",Management Occupations,11-3051.00,Industrieproduktionsmanager,"Planen, oder koordinieren Sie die Arbeitsaktivitäten und Ressourcen, die für die Herstellung von Produkten gemäß den Kosten-, Qualitäts- und Mengenspezifikationen erforderlich sind.",Managementberufe
Quality Control Systems Managers,4,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",Management Occupations,11-3051.01,Manager für Qualitätskontrollsysteme,"Planen, direkte Qualitätssicherungsprogramme planen, direkt oder koordinieren. Formulieren Sie die Richtlinien zur Qualitätskontrolle und die Kontrolle der Qualität der Labor- und Produktionsbemühungen.",Managementberufe
Geothermal Production Managers,3,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,Management Occupations,11-3051.02,Geothermische Produktionsleiter,Verwalten Sie den Betrieb in Geothermie -Stromerzeugungseinrichtungen. Pflege und Überwachung geothermischer Anlagengeräte für einen effizienten und sicheren Anlagenbetrieb.,Managementberufe
Biofuels Production Managers,4,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",Management Occupations,11-3051.03,Produktionsleiter von Biokraftstoffen,"Verwalten Sie die Produktion von Biokraftstoffen und den Anlagenbetrieb. Sammeln und Prozessinformationen zur Produktion und Leistung von Anlagen, Diagnose von Problemen und Entwurfskorrekturverfahren.",Managementberufe
