Title,Job Zone,Description,Domain,O*NET-SOC Code,spanish_title,spanish_description,spanish_domain
Chief Executives,5,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",Management Occupations,11-1011.00,Jefes ejecutivos,"Determine y formule políticas y proporcione la dirección general de empresas o organizaciones del sector privado y público dentro de las directrices establecidas por una junta directiva o un organismo de gobierno similar. Planifique, dirija o coordine las actividades operativas al más alto nivel de gestión con la ayuda de ejecutivos subordinados y gerentes de personal.",Ocupaciones gerenciales
Chief Sustainability Officers,5,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",Management Occupations,11-1011.03,Jefe de Sostenibilidad Oficiales,"Comunicarse y coordinar con la gerencia, los accionistas, los clientes y los empleados para abordar los problemas de sostenibilidad. Promulgar o supervisar una estrategia de sostenibilidad corporativa.",Ocupaciones gerenciales
General and Operations Managers,4,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",Management Occupations,11-1021.00,Gerentes generales y de operaciones,"Planifique, dirija o coordine las operaciones de organizaciones del sector público o privado, supervisando múltiples departamentos o ubicaciones. Los deberes y responsabilidades incluyen formular políticas, gestionar las operaciones diarias y la planificación del uso de materiales y recursos humanos, pero son de naturaleza demasiado diversa y general para clasificarse en cualquier área funcional de administración o administración, como personal, compras o administrativos o administrativos servicios. Por lo general, se las arregla a través de supervisores subordinados. Excluye los supervisores de primera línea.",Ocupaciones gerenciales
Legislators,4,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",Management Occupations,11-1031.00,Legisladores,"Desarrollar, introducir o promulgar leyes y estatutos a nivel local, tribal, estatal o federal. Incluye solo trabajadores en puestos elegidos.",Ocupaciones gerenciales
Advertising and Promotions Managers,4,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",Management Occupations,11-2011.00,Gerentes de publicidad y promociones,"Planifique, dirija o coordine políticas y programas publicitarios o producir materiales colaterales, como carteles, concursos, cupones o regalos, para crear un interés adicional en la compra de un producto o servicio para un departamento, una organización completa o en una cuenta base.",Ocupaciones gerenciales
Marketing Managers,4,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",Management Occupations,11-2021.00,Gerentes de marketing,"Planifique, dirija o coordine las políticas y programas de marketing, como determinar la demanda de productos y servicios ofrecidos por una empresa y sus competidores, e identificar clientes potenciales. Desarrolle estrategias de precios con el objetivo de maximizar las ganancias o la participación del mercado de la empresa al tiempo que garantiza que los clientes de la empresa estén satisfechos. Supervisa el desarrollo de productos o monitorea las tendencias que indican la necesidad de nuevos productos y servicios.",Ocupaciones gerenciales
Sales Managers,4,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",Management Occupations,11-2022.00,Gerentes de ventas,"Planifique, dirija o coordine la distribución o movimiento real de un producto o servicio al cliente. Coordinar la distribución de ventas mediante el establecimiento de territorios de ventas, cuotas y objetivos y establecer programas de capacitación para representantes de ventas. Analice las estadísticas de ventas recopiladas por el personal para determinar los requisitos de potencial de ventas y inventario y monitorear las preferencias de los clientes.",Ocupaciones gerenciales
Public Relations Managers,4,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",Management Occupations,11-2032.00,Gerentes de relaciones públicas,"Planifique, dirija o coordine actividades diseñadas para crear o mantener una imagen pública favorable o crear conciencia de problemas para su organización o cliente.",Ocupaciones gerenciales
Fundraising Managers,4,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",Management Occupations,11-2033.00,Gerentes de recaudación de fondos,"Planifique, dirija o coordine actividades para solicitar y mantener fondos para proyectos especiales o organizaciones sin fines de lucro.",Ocupaciones gerenciales
Administrative Services Managers,3,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",Management Occupations,11-3012.00,Gerentes de servicios administrativos,"Planifique, dirija o coordine uno o más servicios administrativos de una organización, como administración de registros e información, distribución de correo y otros servicios de soporte de oficina.",Ocupaciones gerenciales
Facilities Managers,3,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",Management Occupations,11-3013.00,Gerentes de instalaciones,"Planificar, dirigir o coordinar operaciones y funcionalidades de las instalaciones y edificios. Puede incluir terrenos circundantes o múltiples instalaciones del campus de una organización.",Ocupaciones gerenciales
Security Managers,4,"Direct an organization's security functions, including physical security and safety of employees and facilities.",Management Occupations,11-3013.01,Gerentes de seguridad,"Dirija las funciones de seguridad de una organización, incluida la seguridad física y la seguridad de los empleados e instalaciones.",Ocupaciones gerenciales
Computer and Information Systems Managers,4,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",Management Occupations,11-3021.00,Gerentes de sistemas de computadora y de información,"Planifique, dirija o coordine actividades en campos tales como procesamiento de datos electrónicos, sistemas de información, análisis de sistemas y programación de computadoras.",Ocupaciones gerenciales
Financial Managers,4,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",Management Occupations,11-3031.00,Gerentes financieros,"Planificar, dirigir o coordinar contabilidad, inversión, banca, seguros, valores y otras actividades financieras de una sucursal, oficina o departamento de un establecimiento.",Ocupaciones gerenciales
Treasurers and Controllers,4,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",Management Occupations,11-3031.01,Tesoreros y controladores,"Actividades financieras directas, como planificación, adquisiciones e inversiones para todos o parte de una organización.",Ocupaciones gerenciales
Investment Fund Managers,5,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",Management Occupations,11-3031.03,Administradores de fondos de inversión,"Planifique, dirija o coordine la estrategia u operaciones de inversión para un gran grupo de activos líquidos suministrados por inversores institucionales o inversores individuales.",Ocupaciones gerenciales
Industrial Production Managers,4,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",Management Occupations,11-3051.00,Gerentes de producción industrial,"Planifique, dirija o coordine las actividades laborales y los recursos necesarios para la fabricación de productos de acuerdo con las especificaciones de costo, calidad y cantidad.",Ocupaciones gerenciales
Quality Control Systems Managers,4,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",Management Occupations,11-3051.01,Gerentes de sistemas de control de calidad,"Planificar, dirigir o coordinar programas de garantía de calidad. Formule las políticas de control de calidad y el control de la calidad del laboratorio y los esfuerzos de producción.",Ocupaciones gerenciales
Geothermal Production Managers,3,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,Management Occupations,11-3051.02,Gerentes de producción geotérmica,Administre las operaciones en las instalaciones de generación de energía geotérmica. Mantenga y monitoree el equipo de la planta geotérmica para operaciones de plantas eficientes y seguras.,Ocupaciones gerenciales
Biofuels Production Managers,4,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",Management Occupations,11-3051.03,Gerentes de producción de biocombustibles,"Administre la producción de biocombustibles y las operaciones de la planta. Recopilar y procesar información sobre la producción y el rendimiento de las plantas, diagnosticar problemas y diseñar procedimientos correctivos.",Ocupaciones gerenciales
Biomass Power Plant Managers,4,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",Management Occupations,11-3051.04,Gerentes de plantas de energía de biomasa,"Administre las operaciones en las instalaciones de generación de energía de biomasa. Actividades de trabajo directo en la planta, incluida la supervisión del personal de operaciones y mantenimiento.",Ocupaciones gerenciales
Hydroelectric Production Managers,3,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,Management Occupations,11-3051.06,Gerentes de producción hidroeléctrica,Administre las operaciones en las instalaciones de generación de energía hidroeléctrica. Mantenga y monitoree el equipo de la planta hidroeléctrica para operaciones de plantas eficientes y seguras.,Ocupaciones gerenciales
Purchasing Managers,4,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",Management Occupations,11-3061.00,Gerentes de compra,"Planifique, dirija o coordine las actividades de los compradores, los oficiales de compra y los trabajadores relacionados involucrados en la compra de materiales, productos y servicios. Incluye gerentes de comercialización y gerentes de comercialización al por mayor o minorista.",Ocupaciones gerenciales
"Transportation, Storage, and Distribution Managers",4,"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",Management Occupations,11-3071.00,"Gerentes de transporte, almacenamiento y distribución","Planificar, dirigir o coordinar actividades de transporte, almacenamiento o distribución de acuerdo con las políticas organizacionales y las leyes o reglamentos gubernamentales aplicables. Incluye gerentes de logística.",Ocupaciones gerenciales
Supply Chain Managers,4,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",Management Occupations,11-3071.04,Gerentes de la cadena de suministro,"Dirigir o coordinar la producción, compras, almacenamiento, distribución o servicios de pronóstico financiero o actividades para limitar los costos y mejorar la precisión, el servicio al cliente o la seguridad. Examine los procedimientos u oportunidades existentes para racionalizar las actividades para satisfacer las necesidades de distribución de productos. Dirija el movimiento, el almacenamiento o el procesamiento del inventario.",Ocupaciones gerenciales
Compensation and Benefits Managers,4,"Plan, direct, or coordinate compensation and benefits activities of an organization.",Management Occupations,11-3111.00,Gerentes de compensación y beneficios,"Planifique, dirija o coordine las actividades de compensación y beneficios de una organización.",Ocupaciones gerenciales
Human Resources Managers,4,"Plan, direct, or coordinate human resources activities and staff of an organization.",Management Occupations,11-3121.00,Gerentes de recursos humanos,"Planifique, dirija o coordine las actividades de recursos humanos y el personal de una organización.",Ocupaciones gerenciales
Training and Development Managers,4,"Plan, direct, or coordinate the training and development activities and staff of an organization.",Management Occupations,11-3131.00,Gerentes de capacitación y desarrollo,"Planifique, dirija o coordine las actividades de capacitación y desarrollo y el personal de una organización.",Ocupaciones gerenciales
"Farmers, Ranchers, and Other Agricultural Managers",4,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",Management Occupations,11-9013.00,"Agricultores, ganaderos y otros gerentes agrícolas","Planifique, dirija o coordine la gestión u operación de granjas, ranchos, invernaderos, operaciones acuiculturales, viveros, tramos de madera u otros establecimientos agrícolas. Puede contratar, capacitar y supervisar a los trabajadores agrícolas o contratar servicios para llevar a cabo las actividades cotidianas de la operación administrada. Puede participar o supervisar la siembra, cultivo, cosecha y actividades financieras y de marketing.",Ocupaciones gerenciales
Construction Managers,4,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",Management Occupations,11-9021.00,Gerentes de construcción,"Planifique, dirija o coordine, generalmente a través del personal de supervisión subordinado, actividades relacionadas con la construcción y mantenimiento de estructuras, instalaciones y sistemas. Participe en el desarrollo conceptual de un proyecto de construcción y supervise su organización, programación, presupuesto e implementación. Incluye gerentes en campos de construcción especializados, como carpintería o plomería.",Ocupaciones gerenciales
"Education and Childcare Administrators, Preschool and Daycare",4,"Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",Management Occupations,11-9031.00,"Educación y cuidado de niños, preescolar y guardería","Planifique, dirija o coordine actividades académicas o no académicas de preescolares o centros de cuidado infantil y programas, incluida la atención antes y después de la escuela.",Ocupaciones gerenciales
"Education Administrators, Kindergarten through Secondary",5,"Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",Management Occupations,11-9032.00,"Administradores de educación, jardín de infantes a través de la secundaria","Planifique, dirija o coordine las actividades académicas, administrativas o auxiliares de las escuelas de jardín de infantes, primaria o secundaria.",Ocupaciones gerenciales
"Education Administrators, Postsecondary",5,"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",Management Occupations,11-9033.00,"Administradores de educación, postsecundario","Planifique, dirija o coordine la instrucción, la administración y los servicios de los estudiantes, así como otras actividades de investigación y educación, en instituciones postsecundarias, incluidas universidades, colegios y colegios junior y comunitario.",Ocupaciones gerenciales
Architectural and Engineering Managers,5,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",Management Occupations,11-9041.00,Gerentes de arquitectura e ingeniería,"Planifique, dirija o coordine actividades en campos como arquitectura e ingeniería o investigación y desarrollo en estos campos.",Ocupaciones gerenciales
Biofuels/Biodiesel Technology and Product Development Managers,4,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",Management Occupations,11-9041.01,Gerentes de tecnología y desarrollo de productos de biocombustibles/biodiesel,"Definir, planificar o ejecutar programas de investigación de biocombustibles/biodiesel que evalúen las tecnologías alternativas de materia prima y procesan con potencial comercial a corto plazo.",Ocupaciones gerenciales
