Title,dutch_title,Job Zone,Description,dutch_description,Domain,dutch_domain,O*NET-SOC Code
Chief Executives,Chief executives,5,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","Bepaal en formuleer het beleid en geef de algemene richting van bedrijven of particuliere en publieke organisaties binnen richtlijnen die zijn opgezet door een raad van bestuur of een soortgelijk bestuursorgaan. Plan, directe of coördinatie van operationele activiteiten op het hoogste managementniveau met behulp van ondergeschikte leidinggevenden en personeelsmanagers.",Management Occupations,Managementberichten,11-1011.00
Chief Sustainability Officers,Chief Duurzaamheidsfunctionarissen,5,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.","Communiceren en coördineren met management, aandeelhouders, klanten en werknemers om duurzaamheidskwesties aan te pakken. Een strategie voor duurzaamheidsstrategie vaststellen of toezicht houden.",Management Occupations,Managementberichten,11-1011.03
General and Operations Managers,Algemeen en operations managers,4,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Plan, direct of coördineer de activiteiten van openbare of particuliere organisaties, die toezicht houden op meerdere afdelingen of locaties. Taken en verantwoordelijkheden omvatten het formuleren van beleid, het beheren van dagelijkse activiteiten en het plannen van het gebruik van materialen en human resources, maar zijn te divers en algemeen van aard om te worden geclassificeerd in een functioneel gebied van management of administratie, zoals personeel, inkoop of administratief Diensten. Meestal beheren via ondergeschikte supervisors. Exclusief eerstelijns supervisors.",Management Occupations,Managementberichten,11-1021.00
Legislators,Wetgevers,4,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.","Wetten en statuten ontwikkelen, introduceren of vaststellen op lokaal, tribale, staats- of federaal niveau. Bevat alleen werknemers in gekozen posities.",Management Occupations,Managementberichten,11-1031.00
Advertising and Promotions Managers,Advertenties- en promotiemanagers,4,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.","Plan, direct of coördineer advertentiebeleid en programma's of produceren onderpandmaterialen, zoals posters, wedstrijden, kortingsbonnen of weggeefacties, om extra interesse te creëren bij de aankoop van een product of dienst voor een afdeling, een hele organisatie of op een account basis.",Management Occupations,Managementberichten,11-2011.00
Marketing Managers,Marketingmanagers,4,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.","Plan, direct of coördineer marketingbeleid en -programma's, zoals het bepalen van de vraag naar producten en diensten die worden aangeboden door een bedrijf en zijn concurrenten, en identificeer potentiële klanten. Ontwikkel prijsstrategieën met als doel de winst of het aandeel van de markt van de markt te maximaliseren en ervoor te zorgen dat de klanten van het bedrijf tevreden zijn. Houd toezicht op productontwikkeling of controleer trends die aangeven dat nieuwe producten en diensten nodig zijn.",Management Occupations,Managementberichten,11-2021.00
Sales Managers,Verkoopmanagers,4,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.","Plan, direct of coördineer de werkelijke distributie of beweging van een product of dienst naar de klant. Coördineer de verkoopdistributie door verkoopgebieden, quota en doelen op te zetten en trainingsprogramma's op te zetten voor verkoopvertegenwoordigers. Analyseer verkoopstatistieken verzameld door personeel om het verkooppotentieel en de voorraadvereisten te bepalen en de voorkeuren van klanten te controleren.",Management Occupations,Managementberichten,11-2022.00
Public Relations Managers,Public Relations Managers,4,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.","Plan, direct of coördineren activiteiten die zijn ontworpen om een ​​gunstig publiek imago te creëren of te behouden of probleembewustzijn voor hun organisatie of klant te vergroten.",Management Occupations,Managementberichten,11-2032.00
Fundraising Managers,Fondsenwervende managers,4,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.","Plan, direct of coördineer activiteiten om fondsen te vragen en te onderhouden voor speciale projecten of non -profitorganisaties.",Management Occupations,Managementberichten,11-2033.00
Administrative Services Managers,Managers van administratieve diensten,3,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.","Plan, direct of coördineer een of meer administratieve diensten van een organisatie, zoals records en informatiebeheer, e -maildistributie en andere kantoorondersteuningsdiensten.",Management Occupations,Managementberichten,11-3012.00
