Title,Job Zone,Description,Domain,O*NET-SOC Code,french_title,french_description,french_domain
Chief Executives,5,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",Management Occupations,11-1011.00,Dirigeants,"Déterminer et formuler des politiques et fournir l'orientation globale des entreprises ou des organisations du secteur privé et publique dans les directives établies par un conseil d'administration ou un organe directeur similaire. Planifier, directement ou coordonner les activités opérationnelles au plus haut niveau de gestion à l'aide de cadres subordonnés et de gestionnaires du personnel.",Professions de gestion
Chief Sustainability Officers,5,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",Management Occupations,11-1011.03,Chefs de la durabilité,"Communiquez et coordonnez avec la direction, les actionnaires, les clients et les employés pour résoudre les problèmes de durabilité. Adopter ou superviser une stratégie de durabilité de l'entreprise.",Professions de gestion
General and Operations Managers,4,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",Management Occupations,11-1021.00,Général et gestionnaires des opérations,"Planifier, diriger ou coordonner les opérations d'organisations du secteur public ou privé, supervisant plusieurs départements ou emplacements. Les tâches et les responsabilités comprennent la formulation de politiques, la gestion des opérations quotidiennes et la planification de l'utilisation des matériaux et des ressources humaines, mais sont de nature trop diversifiée et générale pour être classée dans un domaine fonctionnel de gestion ou d'administration, comme le personnel, l'achat ou l'administration prestations de service. Gérer généralement par le biais de superviseurs subordonnés. Exclut les superviseurs de première ligne.",Professions de gestion
Legislators,4,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",Management Occupations,11-1031.00,Législateurs,"Développer, introduire ou promulguer des lois et des statuts au niveau local, tribal, étatique ou fédéral. Ne comprend que les travailleurs dans des postes élus.",Professions de gestion
Advertising and Promotions Managers,4,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",Management Occupations,11-2011.00,Gestionnaires de la publicité et des promotions,"Planifier, directement ou coordonner les politiques et programmes publicitaires ou produire du matériel de garantie, tels que des affiches, des concours, des coupons ou des cadeaux, pour créer un intérêt supplémentaire pour l'achat d'un produit ou d'un service pour un département, une organisation entière ou sur un compte base.",Professions de gestion
Marketing Managers,4,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",Management Occupations,11-2021.00,Chefs de marketing,"Planifier, directement ou coordonner les politiques et programmes de marketing, tels que la détermination de la demande de produits et services offerts par une entreprise et ses concurrents, et d'identifier les clients potentiels. Développer des stratégies de tarification dans le but de maximiser les bénéfices de l'entreprise ou la part du marché tout en veillant à ce que les clients de l'entreprise soient satisfaits. Superviser le développement de produits ou surveiller les tendances qui indiquent la nécessité de nouveaux produits et services.",Professions de gestion
Sales Managers,4,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",Management Occupations,11-2022.00,Directeurs commerciaux,"Planifier, diriger ou coordonner la distribution ou le mouvement réel d'un produit ou d'un service au client. Coordonner la distribution des ventes en établissant des territoires de vente, des quotas et des objectifs et établir des programmes de formation pour les représentants des ventes. Analyser les statistiques de vente recueillies par le personnel pour déterminer les exigences du potentiel de vente et des stocks et surveiller les préférences des clients.",Professions de gestion
Public Relations Managers,4,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",Management Occupations,11-2032.00,Gestionnaires des relations publiques,"Planifier, directement ou coordonner les activités conçues pour créer ou maintenir une image publique favorable ou sensibiliser les problèmes à leur organisation ou client.",Professions de gestion
Fundraising Managers,4,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",Management Occupations,11-2033.00,Gestionnaires de collecte de fonds,"Planifier, directement ou coordonner les activités pour solliciter et maintenir des fonds pour des projets spéciaux ou des organisations à but non lucratif.",Professions de gestion
Administrative Services Managers,3,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",Management Occupations,11-3012.00,Gestionnaires de services administratifs,"Planifier, directement ou coordonner un ou plusieurs services administratifs d'une organisation, tels que les enregistrements et la gestion de l'information, la distribution du courrier et d'autres services de soutien aux bureaux.",Professions de gestion
